Home,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
1,0,93,100,38,91,0.418,8,23,0.348,9,13,0.6920000000000001,19,49,18,8,2,15,14,39,86,0.45299999999999996,15,49,0.306,7,12,0.583,12,45,26,12,1,15,15
0,0,95,111,34,90,0.37799999999999995,7,26,0.26899999999999996,20,29,0.69,18,54,24,5,3,18,20,42,87,0.483,8,32,0.25,19,24,0.792,6,47,23,8,5,13,21
0,0,96,105,39,92,0.424,6,27,0.222,12,18,0.667,6,35,21,8,3,13,21,39,76,0.513,9,26,0.34600000000000003,18,26,0.6920000000000001,9,49,23,11,5,21,20
0,1,115,109,41,83,0.494,10,18,0.556,23,26,0.885,9,45,21,5,5,15,19,39,97,0.402,10,34,0.294,21,25,0.84,12,43,19,6,9,9,20
0,0,107,114,38,82,0.46299999999999997,12,34,0.353,19,27,0.7040000000000001,7,40,23,10,2,14,28,41,83,0.494,7,26,0.26899999999999996,25,36,0.6940000000000001,9,44,28,6,2,13,20
0,0,112,125,45,88,0.511,8,25,0.32,14,18,0.778,7,34,28,6,1,14,10,52,89,0.584,9,27,0.33299999999999996,12,15,0.8,9,39,33,11,3,14,17
0,0,98,118,39,88,0.44299999999999995,11,32,0.344,9,11,0.818,4,47,18,6,5,18,14,46,93,0.495,15,36,0.41700000000000004,11,15,0.733,6,45,28,11,5,8,13
1,1,112,96,40,87,0.46,8,28,0.28600000000000003,24,31,0.774,14,53,25,9,6,9,24,34,83,0.41,10,25,0.4,18,26,0.6920000000000001,10,40,21,6,3,12,25
1,0,98,118,42,96,0.43799999999999994,7,28,0.25,7,16,0.43799999999999994,12,41,25,9,7,12,21,42,89,0.47200000000000003,19,42,0.452,15,19,0.789,13,52,27,8,4,18,15
1,0,92,100,35,85,0.41200000000000003,7,22,0.318,15,20,0.75,12,48,18,7,2,19,18,35,77,0.455,7,22,0.318,23,30,0.767,6,44,12,13,6,13,19
0,0,98,128,38,87,0.43700000000000006,9,25,0.36,13,18,0.722,7,38,29,7,2,11,15,50,89,0.562,16,34,0.47100000000000003,12,15,0.8,7,47,39,8,5,10,17
0,1,114,113,42,79,0.532,10,23,0.435,20,26,0.769,6,36,25,6,6,12,28,36,79,0.456,12,28,0.429,29,36,0.8059999999999999,9,40,19,8,3,11,20
0,0,105,111,41,96,0.42700000000000005,10,35,0.28600000000000003,13,19,0.684,11,48,22,7,3,11,25,40,91,0.44,12,29,0.414,19,26,0.731,9,50,29,3,11,11,20
1,0,88,98,31,77,0.40299999999999997,6,24,0.25,20,28,0.7140000000000001,7,35,17,12,3,14,22,33,69,0.478,9,20,0.45,23,26,0.885,5,38,25,5,1,17,23
1,1,102,94,37,80,0.46299999999999997,5,14,0.35700000000000004,23,32,0.7190000000000001,11,46,22,4,7,11,16,34,87,0.391,10,28,0.35700000000000004,16,21,0.762,13,44,15,5,5,11,21
0,0,86,113,27,78,0.34600000000000003,7,27,0.259,25,28,0.893,7,33,17,8,4,13,19,41,78,0.526,10,28,0.35700000000000004,21,27,0.778,10,48,28,8,2,15,20
0,0,104,128,42,88,0.47700000000000004,6,25,0.24,14,20,0.7,10,47,28,7,4,16,23,44,89,0.494,16,38,0.42100000000000004,24,36,0.667,10,42,31,9,2,10,15
1,0,111,112,41,84,0.488,10,21,0.47600000000000003,19,24,0.792,7,47,27,4,8,21,20,40,95,0.42100000000000004,11,28,0.39299999999999996,21,27,0.778,13,45,25,13,5,15,19
0,0,80,112,32,82,0.39,3,23,0.13,13,18,0.722,11,40,16,8,5,14,16,45,91,0.495,17,35,0.486,5,6,0.833,12,51,32,10,3,14,17
0,1,116,107,44,90,0.489,8,14,0.5710000000000001,20,29,0.69,15,52,18,9,3,14,22,39,83,0.47,6,22,0.273,23,27,0.852,6,37,14,7,7,14,25
1,0,79,107,30,76,0.395,4,18,0.222,15,19,0.789,5,33,15,5,5,17,19,42,89,0.47200000000000003,8,31,0.258,15,19,0.789,11,50,25,12,8,12,16
